Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Dalmia Bharat Ltd.,DALBHARAT,275.0,Construction Materials,Cement & Construction Materials,Mid Cap,1855.95,0.9,3731200.0,1.67,0.46,0.47,1323300.0,941050.0,0.71,-0.01,NewLong,"DALBHARAT,",60.89,2024-07-03,0.033
IndusInd Bank Ltd.,INDUSINDBK,500.0,Banking,Bank - Private,Large Cap,1455.5,1.82,29118000.0,1.65,1.18,0.76,10734000.0,7778500.0,0.72,0.01,NewLong,"INDUSINDBK,",37.93,2024-07-03,0.0226
Glenmark Pharmaceuticals Ltd.,GLENMARK,725.0,Healthcare,Pharmaceuticals & Drugs,Mid Cap,1281.8,2.63,8291825.0,1.62,2.56,1.84,1269475.0,768500.0,0.61,0.01,AggressiveNewLong,"GLENMARK,",32.93,2024-07-03,0.0066
Indian Oil Corporation Ltd.,IOC,4875.0,Crude Oil,Refineries,Large Cap,169.31,0.6,150593625.0,1.62,1.0,1.13,53005875.0,31902000.0,0.6,-0.03,AggressiveNewLong,"IOC,",60.4,2024-07-03,0.0452
Birlasoft Ltd.,BSOFT,1000.0,Information Technology,IT - Software,Small Cap,711.3,0.35,14565000.0,1.59,0.29,0.32,6597000.0,4009000.0,0.61,-0.03,NewLong,"BSOFT,",44.13,2024-07-03,0.044199999999999996
Tata Motors Ltd.,TATAMOTORS,550.0,Automobile & Ancillaries,Automobiles-Trucks/Lcv,Large Cap,975.65,-0.58,68167550.0,1.58,0.49,0.43,38184850.0,23977250.0,0.63,-0.02,NewShort,"TATAMOTORS,",50.14,2024-07-03,0.0562
Dixon Technologies (India) Ltd.,DIXON,100.0,Consumer Durables,Consumer Durables - Electronics,Mid Cap,12648.85,1.05,1741200.0,1.56,0.94,0.64,892000.0,850500.0,0.95,-0.02,NewLong,"DIXON,",26.27,2024-07-03,0.0407
Exide Industries Ltd.,EXIDEIND,1800.0,Automobile & Ancillaries,Batteries,Mid Cap,568.9,0.78,25516800.0,1.56,0.71,1.0,16981200.0,9023400.0,0.53,0.0,NewLong,"EXIDEIND,",45.71,2024-07-03,0.0333
Power Grid Corporation Of India Ltd.,POWERGRID,3600.0,Power,Power Generation/Distribution,Large Cap,335.15,1.31,67478400.0,1.49,0.54,0.5,30384000.0,16084800.0,0.53,0.02,NewLong,"POWERGRID,",57.53,2024-07-03,0.027000000000000003
Hindustan Unilever Ltd.,HINDUNILVR,300.0,Fast Moving Consumer Goods,Household & Personal Products,Large Cap,2510.35,1.01,17758500.0,1.48,0.59,0.58,5359200.0,2874000.0,0.54,-0.01,NewLong,"HINDUNILVR,",57.76,2024-07-03,0.0181
Page Industries Ltd.,PAGEIND,15.0,Textile,Textile,Mid Cap,38395.45,-1.08,183870.0,1.47,1.31,1.96,23400.0,10650.0,0.46,-0.06,AggressiveNewShort,"PAGEIND,",65.32,2024-07-03,0.0246
PI Industries Ltd.,PIIND,250.0,Chemicals,Pesticides & Agrochemicals,Mid Cap,3797.35,1.08,1723500.0,1.44,0.72,1.08,841000.0,427500.0,0.51,0.0,NewLong,"PIIND,",71.48,2024-07-03,0.0202
